ProbeID,kME
isogroupDN100370_c0_g1,0
isogroupDN101722_c1_g1,0
isogroupDN101779_c0_g1,1
isogroupDN101829_c0_g1,1
isogroupDN101829_c0_g2,1
isogroupDN101901_c0_g1,0
isogroupDN101915_c0_g1,0
isogroupDN101957_c0_g1,0
isogroupDN101961_c0_g1,0
isogroupDN102154_c0_g1,0
isogroupDN102424_c0_g1,0
isogroupDN102558_c0_g1,0
isogroupDN102595_c0_g1,0
isogroupDN102644_c0_g1,0
isogroupDN102883_c0_g1,0
isogroupDN102943_c0_g1,0
isogroupDN102954_c0_g1,0
isogroupDN102959_c0_g1,0
isogroupDN103020_c0_g1,0
isogroupDN103132_c0_g1,0
isogroupDN103166_c0_g1,0
isogroupDN103310_c0_g1,0
isogroupDN103375_c0_g1,0
isogroupDN103640_c0_g1,0
isogroupDN103723_c0_g1,1
isogroupDN103822_c0_g1,0
isogroupDN10399_c0_g1,0
isogroupDN104225_c0_g1,1
isogroupDN10474_c0_g1,0
isogroupDN105029_c0_g1,0
isogroupDN107006_c0_g1,0
isogroupDN107030_c0_g1,0
isogroupDN107062_c0_g1,0
isogroupDN107134_c0_g1,0
isogroupDN107151_c0_g1,1
isogroupDN107238_c0_g1,0
isogroupDN107242_c0_g1,0
isogroupDN107322_c0_g1,0
isogroupDN107512_c0_g1,0
isogroupDN107711_c0_g1,0
isogroupDN107733_c0_g1,0
isogroupDN107794_c0_g1,0
isogroupDN107860_c0_g1,1
isogroupDN107860_c0_g2,0
isogroupDN107868_c0_g1,0
isogroupDN108014_c0_g1,0
isogroupDN108239_c0_g1,0
isogroupDN108293_c0_g1,0
isogroupDN108375_c0_g1,0
isogroupDN108375_c0_g2,0
isogroupDN108518_c0_g1,0
isogroupDN108539_c0_g1,0
isogroupDN108761_c0_g1,0
isogroupDN108812_c0_g1,0
isogroupDN10888_c0_g1,0
isogroupDN109149_c0_g1,0
isogroupDN10921_c0_g1,0
isogroupDN10936_c0_g1,1
isogroupDN109452_c0_g1,0
isogroupDN109458_c0_g1,0
isogroupDN109713_c0_g1,0
isogroupDN109794_c0_g1,0
isogroupDN109844_c0_g1,0
isogroupDN110190_c0_g1,0
isogroupDN110277_c0_g1,0
isogroupDN11066_c0_g1,0
isogroupDN110794_c0_g1,0
isogroupDN111091_c0_g1,0
isogroupDN111905_c0_g1,0
isogroupDN111921_c0_g1,1
isogroupDN112171_c0_g1,0
isogroupDN112256_c0_g1,0
isogroupDN112297_c0_g1,0
isogroupDN112601_c0_g1,0
isogroupDN112702_c0_g1,0
isogroupDN112823_c0_g1,0
isogroupDN112921_c0_g1,0
isogroupDN112938_c0_g1,0
isogroupDN113106_c0_g1,1
isogroupDN113145_c0_g1,0
isogroupDN113190_c0_g1,0
isogroupDN113256_c0_g1,0
isogroupDN113385_c0_g1,0
isogroupDN113432_c0_g1,0
isogroupDN113542_c0_g1,0
isogroupDN113611_c0_g1,0
isogroupDN113786_c0_g1,0
isogroupDN114049_c0_g1,1
isogroupDN114428_c0_g1,0
isogroupDN114470_c0_g1,0
isogroupDN114474_c0_g1,0
isogroupDN11457_c0_g1,1
isogroupDN11457_c0_g2,1
isogroupDN115404_c0_g1,0
isogroupDN115542_c0_g1,0
isogroupDN11639_c0_g1,0
isogroupDN11769_c0_g1,0
isogroupDN11801_c0_g1,0
isogroupDN11896_c0_g1,0
isogroupDN11896_c0_g2,0
isogroupDN12146_c0_g1,0
isogroupDN12151_c0_g1,0
isogroupDN12151_c0_g2,0
isogroupDN12155_c0_g2,1
isogroupDN12221_c0_g1,0
isogroupDN12239_c0_g2,0
isogroupDN12250_c0_g1,0
isogroupDN12278_c0_g1,0
isogroupDN12415_c0_g2,0
isogroupDN12427_c0_g1,0
isogroupDN12443_c0_g1,0
isogroupDN12558_c0_g1,0
isogroupDN12667_c0_g1,0
isogroupDN12687_c0_g1,0
isogroupDN12740_c0_g1,0
isogroupDN12892_c0_g1,0
isogroupDN12892_c0_g2,0
isogroupDN12914_c0_g1,0
isogroupDN12931_c1_g1,1
isogroupDN12934_c0_g1,0
isogroupDN12934_c0_g2,0
isogroupDN12938_c0_g1,0
isogroupDN12938_c0_g2,0
isogroupDN12967_c0_g1,0
isogroupDN13101_c0_g1,0
isogroupDN13101_c0_g2,0
isogroupDN13125_c0_g1,0
isogroupDN13136_c0_g1,0
isogroupDN13164_c0_g1,0
isogroupDN13260_c0_g1,0
isogroupDN13261_c0_g1,0
isogroupDN13324_c0_g1,0
isogroupDN13324_c0_g2,0
isogroupDN13357_c0_g1,0
isogroupDN13357_c0_g2,0
isogroupDN13382_c0_g1,0
isogroupDN13423_c0_g1,0
isogroupDN13427_c0_g1,0
isogroupDN13455_c0_g1,0
isogroupDN13459_c0_g1,0
isogroupDN13468_c0_g1,0
isogroupDN13474_c0_g1,0
isogroupDN13501_c0_g1,0
isogroupDN13503_c0_g1,0
isogroupDN13532_c0_g1,0
isogroupDN13532_c0_g2,0
isogroupDN13588_c0_g1,0
isogroupDN13596_c0_g1,0
isogroupDN13632_c0_g1,0
isogroupDN13632_c0_g2,0
isogroupDN13787_c0_g1,0
isogroupDN13787_c0_g2,0
isogroupDN13803_c0_g1,0
isogroupDN13811_c0_g1,0
isogroupDN13824_c0_g1,0
isogroupDN13831_c0_g1,0
isogroupDN13908_c0_g1,0
isogroupDN13908_c0_g2,0
isogroupDN13921_c0_g1,1
isogroupDN1392_c0_g1,0
isogroupDN14046_c0_g1,0
isogroupDN1440_c0_g1,0
isogroupDN1462_c0_g1,0
isogroupDN15204_c0_g1,0
isogroupDN1520_c0_g1,0
isogroupDN1520_c0_g2,0
isogroupDN1522_c0_g1,0
isogroupDN1522_c0_g2,0
isogroupDN15374_c0_g1,0
isogroupDN15374_c0_g2,0
isogroupDN15376_c0_g1,0
isogroupDN15468_c0_g2,1
isogroupDN1562_c0_g1,0
isogroupDN1601_c0_g1,0
isogroupDN16249_c0_g1,0
isogroupDN16347_c0_g1,0
isogroupDN16414_c0_g1,0
isogroupDN1642_c0_g1,0
isogroupDN16449_c0_g1,0
isogroupDN16473_c0_g1,1
isogroupDN1653_c0_g1,0
isogroupDN16687_c0_g1,0
isogroupDN16690_c0_g1,0
isogroupDN16869_c0_g1,0
isogroupDN16874_c0_g1,0
isogroupDN16874_c0_g2,0
isogroupDN16902_c0_g1,1
isogroupDN16939_c0_g1,0
isogroupDN17118_c0_g1,0
isogroupDN17142_c0_g1,0
isogroupDN17378_c1_g1,0
isogroupDN17391_c0_g1,0
isogroupDN17422_c0_g1,0
isogroupDN17560_c0_g1,0
isogroupDN17627_c0_g1,0
isogroupDN17629_c0_g1,0
isogroupDN17642_c0_g1,0
isogroupDN17642_c0_g2,0
isogroupDN17667_c0_g1,0
isogroupDN17676_c0_g1,0
isogroupDN17684_c0_g1,0
isogroupDN17684_c0_g2,0
isogroupDN17697_c0_g1,0
isogroupDN17729_c0_g1,0
isogroupDN17729_c0_g2,0
isogroupDN17733_c0_g1,0
isogroupDN17784_c0_g2,0
isogroupDN17880_c0_g1,0
isogroupDN17881_c0_g1,0
isogroupDN17881_c0_g2,0
isogroupDN17906_c0_g1,0
isogroupDN17945_c0_g1,0
isogroupDN17957_c0_g1,0
isogroupDN17960_c1_g1,0
isogroupDN17960_c1_g2,0
isogroupDN18003_c0_g1,0
isogroupDN18003_c0_g2,0
isogroupDN18023_c0_g1,0
isogroupDN18024_c0_g1,0
isogroupDN18034_c0_g1,0
isogroupDN18115_c0_g1,0
isogroupDN18133_c0_g1,0
isogroupDN18144_c0_g1,0
isogroupDN18177_c0_g1,0
isogroupDN18225_c0_g1,0
isogroupDN18240_c0_g1,1
isogroupDN18329_c0_g1,0
isogroupDN18335_c0_g1,0
isogroupDN18363_c0_g1,0
isogroupDN18363_c0_g2,1
isogroupDN18403_c0_g1,0
isogroupDN18469_c0_g1,0
isogroupDN18488_c0_g1,0
isogroupDN18499_c0_g1,0
isogroupDN18535_c0_g1,0
isogroupDN18573_c0_g1,0
isogroupDN18639_c0_g1,0
isogroupDN18886_c0_g1,0
isogroupDN18889_c0_g1,0
isogroupDN18889_c0_g2,0
isogroupDN19068_c1_g1,0
isogroupDN19243_c0_g1,0
isogroupDN19276_c0_g1,0
isogroupDN19276_c0_g2,0
isogroupDN19594_c0_g1,0
isogroupDN20141_c0_g1,0
isogroupDN20716_c0_g1,0
isogroupDN20842_c0_g1,0
isogroupDN20842_c0_g2,0
