"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 9 "GO:0000002" "mitochondrial genome maintenance" 1
0 1 1 8 "GO:0000003" "reproduction" 1
0 1 5 5 "GO:0000012" "single strand break repair" 1
0 1 2 43 "GO:0000018" "regulation of DNA recombination" 1
0 1 2 14 "GO:0000027" "ribosomal large subunit assembly" 1
0 1 2 7 "GO:0000028" "ribosomal small subunit assembly" 1
0 1 4 12 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 1 6 29 "GO:0000041" "transition metal ion transport" 1
0 1 2 37 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 1 6 6 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "ribosomal subunit export from nucleus" 1
0 1 4 9 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 1 6 47 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 1 2 22 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 1 3 29 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 1 4 6 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 1 5 18 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.230772150282481 3 27 "GO:0000096" "sulfur amino acid metabolic process" 0.780346820809249
0 0.16036381402097 2 18 "GO:0000097" "sulfur amino acid biosynthetic process" 0.69964200477327
0 1 2 5 "GO:0000098" "sulfur amino acid catabolic process" 1
0 0.682325140753421 2 241 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 4 48 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle localization" 1
0 0.143876904183256 3 16 "GO:0000154;GO:0031167" "rRNA modification" 0.675515463917526
0 1 2 48 "GO:0000165" "MAPK cascade" 1
0 1 2 19 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.436997541788215 5 153 "GO:0000209" "protein polyubiquitination" 0.922901849217639
0 1 2 6 "GO:0000212" "meiotic spindle organization" 1
0 1 4 198 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 2 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 1 4 10 "GO:0000245" "spliceosomal complex assembly" 1
0 1 2 7 "GO:0000272" "polysaccharide catabolic process" 1
0 1 2 52 "GO:0000278" "mitotic cell cycle" 1
0 1 2 32 "GO:0000281" "mitotic cytokinesis" 1
0 1 2 7 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 1 2 12 "GO:0000291;GO:0034427" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 1
0 1 2 5 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 1
0 1 2 67 "GO:0000302" "response to reactive oxygen species" 1
0 1 2 5 "GO:0000338" "protein deneddylation" 1
0 1 4 8 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 1 2 33 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 2 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 7 99 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1
0 1 2 17 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 4 26 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 1
0 1 5 9 "GO:0000423" "mitophagy" 1
0 1 4 7 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 8 6 "GO:0000460" "maturation of 5.8S rRNA" 1
0 1 9 17 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 9 6 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 8 7 "GO:0000467;GO:0000459;GO:0031125" "rRNA 3'-end processing" 1
0 1 2 23 "GO:0000469" "cleavage involved in rRNA processing" 1
0 1 3 11 "GO:0000470" "maturation of LSU-rRNA" 1
0 1 2 12 "GO:0000479;GO:0000478" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 9 "GO:0000578" "embryonic axis specification" 1
0 1 4 5 "GO:0000712" "resolution of meiotic recombination intermediates" 1
0 1 3 11 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 1 2 48 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 1 2 6 "GO:0000729" "DNA double-strand break processing" 1
0 1 2 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 1 3 10 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 1 3 70 "GO:0000902" "cell morphogenesis" 1
0 1 4 48 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 1 2 45 "GO:0000910;GO:0061640" "cytokinesis" 1
0 1 2 47 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 1
0 1 2 14 "GO:0000959" "mitochondrial RNA metabolic process" 1
0 1 3 6 "GO:0000963;GO:0140053" "mitochondrial gene expression" 1
0 1 4 42 "GO:0001501" "skeletal system development" 1
0 1 3 9 "GO:0001502;GO:0098743" "cartilage condensation" 1
0 0.426052759632525 2 57 "GO:0001503" "ossification" 0.924060693641619
0 1 2 75 "GO:0001505" "regulation of neurotransmitter levels" 1
0 1 3 31 "GO:0001508" "action potential" 1
0 0.328912891796743 2 41 "GO:0001510" "RNA methylation" 0.856677265500795
0 1 3 5 "GO:0001516;GO:0046457" "prostaglandin biosynthetic process" 1
0 1 2 7 "GO:0001522" "pseudouridine synthesis" 1
0 1 2 27 "GO:0001523;GO:0016101;GO:0006721" "terpenoid metabolic process" 1
0 0.0125457875493719 2 94 "GO:0001525" "angiogenesis" 0.196103896103896
0 1 2 11 "GO:0001541" "ovarian follicle development" 1
0 0.344250820275473 2 126 "GO:0001558" "regulation of cell growth" 0.870689655172414
0 0.0016148792419162 3 53 "GO:0001568" "blood vessel development" 0.05
0 1 3 9 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.260169043510669 4 31 "GO:0001570" "vasculogenesis" 0.792389380530973
0 1 2 32 "GO:0001578" "microtubule bundle formation" 1
0 1 2 25 "GO:0001649" "osteoblast differentiation" 1
0 0.391364231676164 2 51 "GO:0001654" "eye development" 0.894165435745938
0 0.101253715690164 5 11 "GO:0001656" "metanephros development" 0.575
0 0.118547798531096 2 13 "GO:0001657;GO:0072164" "mesonephric tubule development" 0.623538011695906
0 0.16036381402097 3 18 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.69964200477327
0 1 2 12 "GO:0001659" "temperature homeostasis" 1
0 1 3 9 "GO:0001662;GO:0002209;GO:0042596" "behavioral fear response" 1
0 0.176776077480443 3 79 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.715590200445434
0 1 3 76 "GO:0001667" "ameboidal-type cell migration" 1
0 1 2 29 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 1 2 28 "GO:0001678" "cellular glucose homeostasis" 1
0 1 2 10 "GO:0001682;GO:0099116" "tRNA 5'-end processing" 1
0 1 5 100 "GO:0001701;GO:0043009" "chordate embryonic development" 1
0 1 2 7 "GO:0001702" "gastrulation with mouth forming second" 1
0 1 4 14 "GO:0001707;GO:0001704" "formation of primary germ layer" 1
0 1 3 30 "GO:0001708" "cell fate specification" 1
0 1 3 19 "GO:0001709" "cell fate determination" 1
0 1 2 5 "GO:0001731" "formation of translation preinitiation complex" 1
0 1 5 13 "GO:0001732" "formation of cytoplasmic translation initiation complex" 1
0 0.200227077324345 3 23 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.749164926931106
0 1 4 7 "GO:0001745" "compound eye morphogenesis" 1
0 1 4 5 "GO:0001751" "compound eye photoreceptor cell differentiation" 1
0 0.127071670485694 2 14 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.636666666666667
0 1 4 24 "GO:0001755" "neural crest cell migration" 1
0 1 3 51 "GO:0001764" "neuron migration" 1
0 0.0656583024137606 2 7 "GO:0001774" "microglial cell activation" 0.382207207207207
0 1 2 18 "GO:0001776" "leukocyte homeostasis" 1
0 1 3 13 "GO:0001778" "plasma membrane repair" 1
