"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 6 9 "GO:0000002" "mitochondrial genome maintenance" 1
0 1 1 8 "GO:0000003" "reproduction" 1
0 1 2 5 "GO:0000012" "single strand break repair" 1
0 0.822169243705393 2 43 "GO:0000018" "regulation of DNA recombination" 1
0 1 2 14 "GO:0000027" "ribosomal large subunit assembly" 1
0 1 7 7 "GO:0000028" "ribosomal small subunit assembly" 1
0 1 4 12 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 1 2 29 "GO:0000041" "transition metal ion transport" 1
0 0.773550604430013 3 37 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.213564999240669 5 6 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "ribonucleoprotein complex export from nucleus" 0.931572769953052
0 0.0460038917805098 3 9 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.687280701754386
0 0.472481855969358 2 65 "GO:0000075;GO:0007093" "cell cycle checkpoint" 1
0 1 2 47 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 0.0529969818930026 2 22 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.720967741935484
0 1 4 29 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 1 3 6 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.513945748353979 4 18 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.661401819418582 2 27 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.513945748353979 2 18 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 1 2 5 "GO:0000098" "sulfur amino acid catabolic process" 1
0 0.842103589408939 2 241 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 2 48 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle localization" 1
0 0.128352210974662 3 16 "GO:0000154;GO:0031167" "rRNA modification" 0.847854077253219
0 1 2 48 "GO:0000165" "MAPK cascade" 1
0 1 2 19 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.943748765631077 4 153 "GO:0000209" "protein polyubiquitination" 1
0 0.213564999240669 2 6 "GO:0000212" "meiotic spindle organization" 0.931572769953052
0 0.518173777472184 3 198 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 3 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.330040545075508 4 10 "GO:0000245" "spliceosomal complex assembly" 1
0 1 2 7 "GO:0000272" "polysaccharide catabolic process" 1
0 0.611399965851051 3 52 "GO:0000278" "mitotic cell cycle" 1
0 0.723074260492948 4 32 "GO:0000281" "mitotic cytokinesis" 1
0 1 2 7 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 1 2 12 "GO:0000291;GO:0034427" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 1
0 1 6 5 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 1
0 0.268093393615831 2 67 "GO:0000302" "response to reactive oxygen species" 1
0 1 3 5 "GO:0000338" "protein deneddylation" 1
0 1 3 8 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 1 2 33 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.58606212226393 2 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.548511957491429 8 99 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 1
0 0.141866613756336 4 17 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.857171314741036
0 0.647515206423016 4 26 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 1
0 1 2 9 "GO:0000423" "mitophagy" 1
0 1 2 7 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 3 6 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.49404128098142 4 17 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 6 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 9 7 "GO:0000467;GO:0000459;GO:0031125" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 3 23 "GO:0000469" "cleavage involved in rRNA processing" 1
0 0.356367584343654 8 11 "GO:0000470" "maturation of LSU-rRNA" 1
0 1 9 12 "GO:0000479;GO:0000478" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.302641147842448 2 9 "GO:0000578" "embryonic axis specification" 1
0 0.181423291892562 2 5 "GO:0000712" "resolution of meiotic recombination intermediates" 0.913343558282209
0 1 6 11 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.290918883820786 6 48 "GO:0000724;GO:0000725" "recombinational repair" 1
0 1 2 6 "GO:0000729" "DNA double-strand break processing" 1
0 0.356367584343654 2 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 1 2 10 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 0.767456661319281 2 70 "GO:0000902" "cell morphogenesis" 1
0 0.854635481359828 2 48 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 0.83594252181726 2 45 "GO:0000910;GO:0061640" "cytokinesis" 1
0 1 2 47 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 1
0 1 5 14 "GO:0000959" "mitochondrial RNA metabolic process" 1
0 1 6 6 "GO:0000963;GO:0140053" "mitochondrial RNA processing" 1
0 0.226825499559931 2 42 "GO:0001501" "skeletal system development" 1
0 1 3 9 "GO:0001502;GO:0098743" "cartilage condensation" 1
0 0.388504301200539 2 57 "GO:0001503" "ossification" 1
0 1 3 75 "GO:0001505" "regulation of neurotransmitter levels" 1
