"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.171503441719094 4 27 "GO:0000096" "sulfur amino acid metabolic process" 0.934042553191489
0 0.119177925057818 2 18 "GO:0000097" "sulfur amino acid biosynthetic process" 0.907922535211268
0 0.412002085637728 3 241 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.0670543305780184 3 16 "GO:0000154;GO:0031167" "rRNA modification" 0.812388392857143
0 0.315285652869358 2 153 "GO:0000209" "protein polyubiquitination" 0.997564102564103
0 0.0281831049940375 2 57 "GO:0001503" "ossification" 0.693939393939394
0 0.153290994848063 2 41 "GO:0001510" "RNA methylation" 0.928219395866455
0 0.00504592650388027 2 94 "GO:0001525" "angiogenesis" 0.307692307692308
0 0.0239843010405976 2 126 "GO:0001558" "regulation of cell growth" 0.648353909465021
0 0.000302139963286235 3 53 "GO:0001568" "blood vessel development" 0.1
0 0.206808589730958 4 31 "GO:0001570" "vasculogenesis" 0.945254957507082
0 0.115354201582192 2 51 "GO:0001654" "eye development" 0.902673796791444
0 0.0910635566093941 3 11 "GO:0001656" "metanephros development" 0.868627450980392
0 0.106617165492369 3 13 "GO:0001657;GO:0072164" "mesonephric tubule development" 0.890257352941176
0 0.14422482332286 2 18 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.926633986928105
0 0.106741065604556 3 79 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.888899082568807
0 0.0132448872007036 3 23 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.505714285714286
0 0.0350041030432649 6 14 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.725657894736842
0 0.00388410604866461 2 7 "GO:0001774" "microglial cell activation" 0.269444444444444
0 0.0388489291390311 3 198 "GO:0001817" "regulation of cytokine production" 0.715074626865672
0 0.18804429980753 2 77 "GO:0001818" "negative regulation of cytokine production" 0.934475218658892
0 0.0136427762763572 3 107 "GO:0001819" "positive regulation of cytokine production" 0.510893854748603
0 0.402994579535359 2 61 "GO:0001822" "kidney development" 1
0 0.000327504996623902 3 43 "GO:0001889" "liver development" 0.102
0 0.0588014222411053 3 313 "GO:0001932" "regulation of protein phosphorylation" 0.788690476190476
0 0.0449445174510639 5 105 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.738324175824176
0 0.170372202178779 4 201 "GO:0001934" "positive regulation of protein phosphorylation" 0.933307926829268
0 0.276849791180926 2 44 "GO:0001936" "regulation of endothelial cell proliferation" 0.984848484848485
0 0.120951933137925 2 17 "GO:0001937" "negative regulation of endothelial cell proliferation" 0.900346620450607
0 0.000196466909764553 4 20 "GO:0001944" "vasculature development" 0.0818181818181818
0 0.0959118878254858 3 11 "GO:0001945" "lymph vessel development" 0.875335892514395
0 0.0313591647614197 2 33 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.716192170818505
0 0.133932646981725 2 19 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 0.919327731092437
0 0.0280200890710846 3 9 "GO:0001974" "blood vessel remodeling" 0.692585551330798
0 0.103768875483034 3 154 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.883240740740741
0 0.0472670679429154 5 18 "GO:0002011" "morphogenesis of an epithelial sheet" 0.739868421052632
0 0.0103251134386298 2 21 "GO:0002027" "regulation of heart rate" 0.447741935483871
0 0.0472670679429154 2 18 "GO:0002088" "lens development in camera-type eye" 0.739868421052632
0 0.00759049335237785 2 16 "GO:0002090" "regulation of receptor internalization" 0.368888888888889
0 0.00487905717402366 2 10 "GO:0002092" "positive regulation of receptor internalization" 0.306060606060606
0 0.0819984564836249 4 18 "GO:0002218" "activation of innate immune response" 0.833567134268537
0 0.0476671770928404 2 42 "GO:0002221" "pattern recognition receptor signaling pathway" 0.743700787401575
0 0.0684525445898709 5 12 "GO:0002230;GO:0050691" "regulation of defense response to virus by host" 0.808771929824561
0 0.177848589361465 2 89 "GO:0002237" "response to molecule of bacterial origin" 0.933482810164424
0 0.175209533727691 2 113 "GO:0002252" "immune effector process" 0.935746606334842
0 0.226344434672996 2 60 "GO:0002253" "activation of immune response" 0.968435754189944
0 0.0153906530998476 2 31 "GO:0002274" "myeloid leukocyte activation" 0.551058201058201
0 0.00241115506932359 1 405 "GO:0002376" "immune system process" 0.229230769230769
0 0.0231211992002835 3 322 "GO:0002682" "regulation of immune system process" 0.642226890756302
0 0.0406184477911103 2 184 "GO:0002684" "positive regulation of immune system process" 0.733676470588235
0 0.000491816222591021 2 35 "GO:0002685" "regulation of leukocyte migration" 0.115151515151515
0 0.012302947119237 4 24 "GO:0002687" "positive regulation of leukocyte migration" 0.479824561403509
0 0.00948653920566845 2 18 "GO:0002690;GO:0002688" "regulation of leukocyte chemotaxis" 0.423666666666667
0 0.422556671421651 2 116 "GO:0002697" "regulation of immune effector process" 1
0 0.28234016898065 2 62 "GO:0002699" "positive regulation of immune effector process" 0.98455497382199
0 0.236191934299653 3 49 "GO:0002700" "regulation of production of molecular mediator of immune response" 0.966414835164835
0 0.278991677546091 2 61 "GO:0002703" "regulation of leukocyte mediated immunity" 0.985855263157895
0 0.192376828671798 3 38 "GO:0002708;GO:0002824;GO:0002705;GO:0002821" "positive regulation of adaptive immune response" 0.937971014492754
0 0.204788977901653 3 41 "GO:0002718;GO:0002720;GO:0002702" "positive regulation of production of molecular mediator of immune response" 0.943536931818182
0 0.040880418425134 3 7 "GO:0002730;GO:0002732" "regulation of dendritic cell cytokine production" 0.727616279069767
0 0.0575814596740692 2 10 "GO:0002753" "cytoplasmic pattern recognition receptor signaling pathway" 0.78273381294964
0 0.196872977902537 3 30 "GO:0002755;GO:0002224" "toll-like receptor signaling pathway" 0.938577586206897
0 0.185739525899931 2 118 "GO:0002831" "regulation of response to biotic stimulus" 0.93582966226138
0 0.206141871967266 2 53 "GO:0002833" "positive regulation of response to biotic stimulus" 0.945177304964539
0 0.10490572311973 3 19 "GO:0002886" "regulation of myeloid leukocyte mediated immunity" 0.88570110701107
0 0.0352062349926562 5 6 "GO:0002888" "positive regulation of myeloid leukocyte mediated immunity" 0.72328990228013
0 0.114367871163639 3 16 "GO:0002931" "response to ischemia" 0.905206463195691
0 0.291989501284253 2 290 "GO:0003006" "developmental process involved in reproduction" 0.981806451612903
0 0.735132182237249 2 411 "GO:0003008" "system process" 1
0 0.240475436315873 3 100 "GO:0003013" "circulatory system process" 0.966507503410641
0 0.128365136111426 3 15 "GO:0003017;GO:0036303;GO:0048014" "Tie signaling pathway" 0.9125
0 0.368889825778268 4 64 "GO:0003018" "vascular process in circulatory system" 1
0 0.0339265106312574 3 11 "GO:0003170" "heart valve development" 0.722147651006711
0 0.0368376688437847 2 12 "GO:0003179" "heart valve morphogenesis" 0.728006329113924
0 0.0158633534918217 4 5 "GO:0003181" "atrioventricular valve morphogenesis" 0.539698492462312
0 0.0189462003737965 5 6 "GO:0003203" "endocardial cushion morphogenesis" 0.587731481481481
0 0.0509833168482289 3 17 "GO:0003279" "cardiac septum development" 0.764358974358974
0 0.0280200890710846 4 9 "GO:0003281" "ventricular septum development" 0.692585551330798
0 0.0349004922812306 7 10 "GO:0006103" "2-oxoglutarate metabolic process" 0.728973509933775
0 0.783174780691236 2 339 "GO:0006259" "DNA metabolic process" 1
0 0.523819313863278 2 131 "GO:0006310" "DNA recombination" 1
0 0.167201945396308 6 27 "GO:0006313;GO:0032196" "transposition" 0.931901840490798
0 0.471898313186517 3 302 "GO:0006325" "chromatin organization" 1
0 0.0465735987985231 4 90 "GO:0006338" "chromatin remodeling" 0.737101063829787
0 0.0915873242163799 5 638 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.870058708414873
0 0.333053107568206 2 128 "GO:0006364;GO:0016072" "rRNA metabolic process" 0.999747793190416
0 0.0189827854264759 2 13 "GO:0006379" "mRNA cleavage" 0.585714285714286
0 0.173260459960889 6 444 "GO:0006396" "RNA processing" 0.93649468892261
0 0.151036708899213 2 289 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.927076677316294
0 0.513624500929422 2 120 "GO:0006412;GO:0043043" "peptide biosynthetic process" 1
0 0.123020414943205 2 149 "GO:0006417;GO:0034248" "regulation of cellular amide metabolic process" 0.905603448275862
0 0.0381467925780265 3 28 "GO:0006446" "regulation of translational initiation" 0.70975975975976
0 0.620242025173999 2 253 "GO:0006468;GO:0016310" "phosphorylation" 1
0 0.351870997939193 2 60 "GO:0006469;GO:0033673" "negative regulation of kinase activity" 1
0 0.00814144031100201 3 61 "GO:0006470" "protein dephosphorylation" 0.381428571428571
0 0.577681006029565 2 484 "GO:0006508" "proteolysis" 1
0 0.171363761627539 4 183 "GO:0006518" "peptide metabolic process" 0.935083713850837
0 0.183637296387088 5 117 "GO:0006520" "cellular amino acid metabolic process" 0.935324483775811
0 0.0687300137292084 3 10 "GO:0006534" "cysteine metabolic process" 0.805228758169935
0 0.00392482486560656 6 13 "GO:0006536" "glutamate metabolic process" 0.267032967032967
0 0.0178665764602668 3 5 "GO:0006570" "tyrosine metabolic process" 0.572488038277512
0 0.419053670543222 2 85 "GO:0006575" "cellular modified amino acid metabolic process" 1
0 0.0333781852803241 2 9 "GO:0006595" "polyamine metabolic process" 0.731443298969072
0 0.0240379208386073 3 121 "GO:0006631" "fatty acid metabolic process" 0.646926229508197
0 0.0270389577860924 3 38 "GO:0006639;GO:0006638" "neutral lipid metabolic process" 0.693921568627451
0 0.0154552382514363 6 28 "GO:0006641" "triglyceride metabolic process" 0.549473684210526
0 0.229083190020487 3 153 "GO:0006650;GO:0006644;GO:0046486" "glycerolipid metabolic process" 0.968289290681502
0 0.0311001884852087 6 36 "GO:0006690;GO:0033559" "unsaturated fatty acid metabolic process" 0.71415770609319
0 0.187966907136702 2 30 "GO:0006749" "glutathione metabolic process" 0.935839416058394
0 0.0420226411087087 2 6 "GO:0006750;GO:0019184" "nonribosomal peptide biosynthetic process" 0.730714285714286
0 0.0420226411087087 2 6 "GO:0006751" "glutathione catabolic process" 0.730714285714286
0 0.320310065279838 2 138 "GO:0006790" "sulfur compound metabolic process" 0.999425287356322
0 0.329176265071951 2 575 "GO:0006796;GO:0006793" "phosphorus metabolic process" 1
0 0.288418587984229 2 54 "GO:0006821;GO:0015698" "inorganic anion transport" 0.984395318595579
0 0.118827574528691 9 19 "GO:0006835" "dicarboxylic acid transport" 0.910070671378092
0 0.481182768208748 2 200 "GO:0006875;GO:0055065;GO:0030003;GO:0006873" "cellular ion homeostasis" 1
0 0.258898582609104 2 47 "GO:0006885;GO:0030004;GO:0055067" "monovalent inorganic cation homeostasis" 0.978619302949062
0 0.906155343956699 5 303 "GO:0006886" "intracellular protein transport" 1
0 0.581141070808127 2 134 "GO:0006897" "endocytosis" 1
0 0.334183862414537 5 56 "GO:0006898" "receptor-mediated endocytosis" 0.99679648241206
0 0.00851123366363799 7 16 "GO:0006911;GO:0099024;GO:0010324" "membrane invagination" 0.395804195804196
0 0.0926198081750482 3 31 "GO:0006919" "activation of cysteine-type endopeptidase activity involved in apoptotic process" 0.872904483430799
0 0.451542019445167 2 504 "GO:0006928" "movement of cell or subcellular component" 1
0 0.245606599103818 4 38 "GO:0006937" "regulation of muscle contraction" 0.973228882833788
0 0.10100937687779 5 14 "GO:0006940" "regulation of smooth muscle contraction" 0.879026217228464
0 0.0180969074080527 2 313 "GO:0006952;GO:0098542" "defense response" 0.572405660377359
