"","Observed","Chao1","se.chao1","Shannon","Simpson","Fisher"
"G13r1",913,1058.28571428571,25.3074159073078,6.30446941858301,0.997204530156374,336.432345217288
"G13r10",784,847.050420168067,15.0504632947626,6.24412392163458,0.997193832750814,265.551020452768
"G13r21",586,692.530612244898,23.1602101467111,5.65434750051056,0.994436215274607,176.044160474421
"G13r22",385,401.734693877551,7.09515259174958,5.46067396722151,0.994452064243849,97.6415732003306
"G13r23",812,947.323529411765,24.1805469903531,6.05512398216371,0.996289418043665,282.430135605766
"G13r24",521,566.797101449275,13.4889195724547,5.75465542467488,0.99578335428692,147.000592458112
"G13r25",282,288.5625,4.62629238139719,5.38572657702246,0.994702086884627,64.6369457681353
"G13r26",270,293.4,11.9046114692219,5.06972493481324,0.991618767842386,61.1419820940438
"G13r28",540,558.5,8.0171315916408,6.04573067846162,0.997165474149079,157.180375347118
"G13r29",756,897.107344632768,24.7005561494574,5.7622419196831,0.994409283467035,250.337660191103
"G13r3",920,1042.33009708738,21.490635647781,6.28721699505035,0.997198519835549,338.061558831076
"G13r30",1028,1441.41363636364,52.8350545911797,6.33284992293993,0.997027094799011,444.271466684566
"G13r5",1085,1506.7480620155,51.3350840958097,6.30955455641116,0.996830933974081,474.817750036292
"G1r1",428,470.6,13.2129956247123,5.367113089677,0.992983097046822,112.177638101832
"G1r14",349,394.115384615385,14.2560386515782,4.96855803053512,0.989386126145667,85.6197658054694
"G1r4",245,251.5,4.72402962064132,5.03362358621276,0.991431266526676,53.8930014397345
"G1r5",166,169,3.18318285073674,4.72854178827478,0.989054370233072,32.9859616205449
"G31r10",982,1176.22058823529,30.2520470821634,6.34442086655597,0.997105004392834,389.007419948566
"G31r12",227,231.5,4.10725369771153,5.09181786741257,0.992452674146254,49.0040974851879
"G31r13",289,310.30303030303,9.14898000868266,4.89825670103761,0.989235093647467,66.7438836823251
"G31r14",200,200.125,0.443759697563187,4.84191996332108,0.989769153793989,41.7367608116623
"G31r20",604,659.09900990099,14.1602984965114,5.83878099396861,0.99582202056656,181.292426301284
"G31r25",279,300,10.4633275911555,5.09983106381908,0.991732015069731,63.7573933382648
"G31r26",232,234.894736842105,2.58285472600533,4.8281323612817,0.988859047160891,50.2721559568424
"G31r28",166,166.166666666667,0.54341251080814,4.6529311522058,0.988022859258987,32.9908087925178
"G31r29",676,1259.79032258065,83.0515687011506,5.18571574867229,0.989994611106826,216.484375678325
"G36r10",670,706.320388349515,10.5053080847179,5.99650371568026,0.996164458194463,210.968990155977
"G36r11",670,762.655462184874,19.9052850571581,5.77045163182912,0.994454001585993,214.528229563627
"G36r12",500,528.304347826087,9.56215624395377,5.67674307764348,0.995093417376743,139.036973811226
"G36r14",803,878.520547945206,16.3848184109095,6.12789614068463,0.996318283027074,276.43276339751
"G36r16",227,230.75,3.330056411681,5.12017102060952,0.992934409852687,49.0523392807391
"G36r17",671,730.116279069767,14.1296777278554,5.8346697790552,0.994968868160725,214.141827589746
"G36r18",802,920.934911242604,22.0238754423504,5.92170977959317,0.994806331780158,284.39370602598
"G36r2",1242,1799.2275862069,61.7322363118102,6.35784277880541,0.996244982630603,583.155543972471
"G36r3",364,379,7.21314382385611,5.38563106986371,0.993682115018034,90.8937498315445
"G36r6",248,249.75,2.00922722091735,5.17341330328417,0.993001994899119,54.8947438107448
"G36r8",279,281.333333333333,2.42347648856365,5.31594238092538,0.993926217359884,63.7240406330567
"G36r9",331,333.619047619048,2.38320875045431,5.42371931875839,0.994331301912118,80.1561284817915
"G3r10",583,631.75,13.5030303165432,5.84705876377165,0.995897474182259,172.211751246208
"G3r11",962,1103.4192139738,23.3092792020602,6.19426164026431,0.996085069384653,368.267941929588
"G3r14",753,834.390243902439,17.9648271372058,6.11190554532483,0.996644511887149,252.487879666942
"G3r15",763,819.019736842105,13.1564054554337,6.0101962668557,0.9957133722623,256.563674224328
"G3r16",579,612.082191780822,10.5506489056066,5.87943985464204,0.996071787251102,171.287158820538
"G3r21",245,252.5,6.35332631190328,5.19467230456426,0.993291430582416,53.9829219597016
"G3r22",517,543.101694915254,9.32763964409394,5.74577215333262,0.995413817766975,146.726923673262
"G3r25",424,440.153846153846,7.245680485893,5.62146361184926,0.995189831189798,111.132804713778
"G3r26",541,596.558441558442,15.143726237191,5.65436942651608,0.994658419735735,155.358352739912
"G3r27",545,605.681818181818,16.7667960480608,5.76388433950278,0.995495654020306,157.302187919738
"G3r28",229,232.111111111111,3.10160101630791,5.06317976858892,0.992319183858993,49.5839590562239
"G3r29",515,544.092105263158,9.55915251169803,5.73100858268924,0.995398843659586,144.885130808441
"G3r3",469,488.789473684211,7.73767708533749,5.67197783677572,0.995325661573346,127.448588379998
"G3r5",233,235.545454545455,2.60738224075025,5.14799552143405,0.993115169030504,50.5813092390944
"G3r6",496,520.5,9.23406828017217,5.76549690952599,0.995831639172527,138.066804517593
"G3r7",313,314.730769230769,1.78224523909162,5.41186149653157,0.994530938039101,74.2614171536557
"G3r8",536,569.548387096774,11.0342355978665,5.87895063086801,0.996339541059101,153.8580263936
"G3r9",533,563.9375,11.0165349419692,5.96498078756522,0.996756686974567,154.815301775227
"G41r1",701,788.34375,20.0634071742571,5.97387204192697,0.995883544770144,224.465653751121
"G41r2",811,1067.16666666667,37.5677743449716,5.61201035797561,0.992560231637899,282.762912226555
"G41r3",782,839,14.1600719091951,6.2489523779934,0.997149471515931,266.155644176884
"G41r4",596,669.809523809524,17.347533362041,5.59505247298859,0.993599416449873,178.250669644229
"G41r6",997,1119.77777777778,21.7395116759256,6.52862971230537,0.997941575384125,398.830024144587
"G41r7",742,856.448818897638,22.91233880221,5.98719610154612,0.99595967480255,246.981987283934
"G41r8",218,225.090909090909,5.29403164893801,4.97849429612826,0.991240184276682,46.5122789337856
"G44r11",638,733.674157303371,21.8864010221364,5.88270385188818,0.995911793626597,196.046493540399
"G44r12",485,552.79746835443,17.4284022223952,5.47264502615266,0.99370223060776,133.332298547064
"G44r13",199,205.5,4.72394202532194,4.79567143405583,0.989256678465421,41.4070180464435
"G44r15",539,625.259259259259,19.3224979939344,5.47828916305336,0.993329328520514,154.514704075288
"G44r17",302,308,4.16153926941812,5.42042444281759,0.994803508424926,71.0306719877623
"G44r18",682,738.556603773585,14.2769198860117,5.9549061583694,0.995798106894678,219.760105328207
"G44r2",269,271.333333333333,2.4234689600416,5.27132371785748,0.993510607681853,60.7632401135183
"G44r25",689,799.08547008547,22.710121998953,5.82000422714202,0.994873707358318,220.411611781004
"G44r27",547,607.246153846154,16.7394691534499,5.77788628774265,0.995733116206082,157.902955293506
"G44r28",880,1076.63212435233,30.9566478565258,6.00200148708281,0.995138972584265,333.322264616387
