SRR,bam_name,sample,genotype,replicate
SRR10600014,bt2_SRR10600014.new.sam.bam,G34r19,34,19
SRR10600015,bt2_SRR10600015.new.sam.bam,G34r18,34,18
SRR10600016,bt2_SRR10600016.new.sam.bam,G34r17,34,17
SRR10600017,bt2_SRR10600017.new.sam.bam,G34r16,34,16
SRR10600018,bt2_SRR10600018.new.sam.bam,G34r15,34,15
SRR10600019,bt2_SRR10600019.new.sam.bam,G34r14,34,14
SRR10600020,bt2_SRR10600020.new.sam.bam,G34r13,34,13
SRR10600021,bt2_SRR10600021.new.sam.bam,G34r12,34,12
SRR10600022,bt2_SRR10600022.new.sam.bam,G34r11,34,11
SRR10600023,bt2_SRR10600023.new.sam.bam,G34r10,34,10
SRR10600024,bt2_SRR10600024.new.sam.bam,G13r19,13,19
SRR10600025,bt2_SRR10600025.new.sam.bam,G31r9,31,9
SRR10600026,bt2_SRR10600026.new.sam.bam,G31r8,31,8
SRR10600027,bt2_SRR10600027.new.sam.bam,G31r7,31,7
SRR10600028,bt2_SRR10600028.new.sam.bam,G31r6,31,6
SRR10600029,bt2_SRR10600029.new.sam.bam,G31r5,31,5
SRR10600030,bt2_SRR10600030.new.sam.bam,G31r4,31,4
SRR10600031,bt2_SRR10600031.new.sam.bam,G31r3b,31,3b
SRR10600032,bt2_SRR10600032.new.sam.bam,G31r3a,31,3a
SRR10600033,bt2_SRR10600033.new.sam.bam,G31r30,31,30
SRR10600034,bt2_SRR10600034.new.sam.bam,G31r2,31,2
SRR10600035,bt2_SRR10600035.new.sam.bam,G13r18,13,18
SRR10600036,bt2_SRR10600036.new.sam.bam,G31r29,31,29
SRR10600037,bt2_SRR10600037.new.sam.bam,G31r28,31,28
SRR10600038,bt2_SRR10600038.new.sam.bam,G31r27,31,27
SRR10600039,bt2_SRR10600039.new.sam.bam,G31r26,31,26
SRR10600040,bt2_SRR10600040.new.sam.bam,G31r25,31,25
SRR10600041,bt2_SRR10600041.new.sam.bam,G31r24,31,24
